epoch,step,loss,val_loss
0,5,1.941149115562439,
1,11,1.1028988361358643,
2,17,1.0726146697998047,
3,23,,0.847825825214386
3,23,1.0144894123077393,
4,29,1.0093610286712646,
5,35,1.0045799016952515,
6,41,0.9932594895362854,
7,47,,0.8350462913513184
7,47,0.9964584708213806,
8,53,0.9856278896331787,
9,59,0.9847432374954224,
10,65,0.9778779149055481,
11,71,,0.7960047125816345
11,71,0.9527673721313477,
12,77,0.8556210994720459,
13,83,0.793650209903717,
14,89,0.72864830493927,
15,95,,0.6389341950416565
15,95,0.7172369956970215,
16,101,0.6580014824867249,
17,107,0.6255668997764587,
18,113,0.6146601438522339,
19,119,,0.6015395522117615
19,119,0.6047523021697998,
20,125,0.5899373888969421,
21,131,0.5660221576690674,
22,137,0.5625317692756653,
23,143,,0.5732641816139221
23,143,0.5609185099601746,
24,149,0.5610710978507996,
25,155,0.5495317578315735,
26,161,0.518851101398468,
27,167,,0.551060676574707
27,167,0.5120337009429932,
28,173,0.5091801881790161,
29,179,0.5398503541946411,
30,185,0.5077549815177917,
31,191,,0.5443762540817261
31,191,0.5197803974151611,
32,197,0.4768929183483124,
33,203,0.4980281889438629,
34,209,0.5040705800056458,
35,215,,0.5267583131790161
35,215,0.4838508367538452,
36,221,0.463560551404953,
37,227,0.5003272891044617,
38,233,0.490926057100296,
39,239,,0.5028669238090515
39,239,0.4611437916755676,
40,245,0.45344629883766174,
41,251,0.459861695766449,
42,257,0.47371789813041687,
43,263,,0.49283111095428467
43,263,0.4662196636199951,
44,269,0.4552420973777771,
45,275,0.44932347536087036,
46,281,0.44305911660194397,
47,287,,0.49618926644325256
47,287,0.4383646845817566,
48,293,0.4462625980377197,
49,299,0.42551669478416443,
50,305,0.44581547379493713,
51,311,,0.5030472278594971
51,311,0.4432702660560608,
52,317,0.43140095472335815,
53,323,0.44154828786849976,
54,329,0.4164417088031769,
55,335,,0.47902143001556396
55,335,0.43664461374282837,
56,341,0.41277772188186646,
57,347,0.41545403003692627,
58,353,0.41290679574012756,
59,359,,0.4732954204082489
59,359,0.4341336786746979,
60,365,0.4312088191509247,
61,371,0.4290751516819,
62,377,0.4294185936450958,
63,383,,0.465452641248703
63,383,0.41602620482444763,
64,389,0.4076938033103943,
